Total:,0/39,0/40,0/39,0/40,0/40
Character Name,ATK %,HP%,DEF %,Crit Hit & DMG %,Crit Hit & DMG RES %
Alice,,,FALSE,FALSE,FALSE
Allet,,FALSE,,FALSE,FALSE
Amelia,FALSE,FALSE,,FALSE,
Ashur,,FALSE,,FALSE,FALSE
Aya,FALSE,FALSE,FALSE,,
Belita,,,FALSE,FALSE,FALSE
Beni,,,FALSE,FALSE,FALSE
BigWood,FALSE,,FALSE,,FALSE
Blanchet,,,FALSE,FALSE,FALSE
Butter,FALSE,FALSE,FALSE,,
Canna,FALSE,FALSE,,FALSE,
Carren,,FALSE,,FALSE,FALSE
Chloe,,,FALSE,FALSE,FALSE
Chopi,FALSE,FALSE,,FALSE,
Diana,,FALSE,,FALSE,FALSE
ED,FALSE,FALSE,FALSE,,
Elena,FALSE,FALSE,FALSE,,
Epica,,FALSE,,FALSE,FALSE
Erpin,FALSE,FALSE,FALSE,,
Espi,,FALSE,,FALSE,FALSE
Festa,FALSE,FALSE,FALSE,,
Fricle,FALSE,,FALSE,,FALSE
Gabia,FALSE,,FALSE,,FALSE
Haley,FALSE,FALSE,,FALSE,
Hilde,FALSE,,FALSE,,FALSE
Ifrit,FALSE,FALSE,,FALSE,
Jade,FALSE,FALSE,,FALSE,
Jubee,FALSE,FALSE,FALSE,,
Kidian,FALSE,FALSE,,FALSE,
Kommy,FALSE,FALSE,,FALSE,
Kyuri,FALSE,,FALSE,,FALSE
Layze,FALSE,FALSE,,FALSE,
Leets,FALSE,,FALSE,,FALSE
Levi,,FALSE,,FALSE,FALSE
MaestroMK2,,,FALSE,FALSE,FALSE
Mago,FALSE,,FALSE,,FALSE
Maison,,FALSE,,FALSE,FALSE
Marie,FALSE,,FALSE,,FALSE
Mayo,FALSE,FALSE,,FALSE,
Meluna,FALSE,,FALSE,,FALSE
Momo,FALSE,,FALSE,,FALSE
Mynx,FALSE,,FALSE,,FALSE
Naia,,,FALSE,FALSE,FALSE
Patula,FALSE,FALSE,FALSE,,
Picora,FALSE,FALSE,,FALSE,
Posher,FALSE,FALSE,,FALSE,
Rim,,FALSE,,FALSE,FALSE
Rohne,,,FALSE,FALSE,FALSE
Rudd,,,FALSE,FALSE,FALSE
Rufo,,FALSE,,FALSE,FALSE
Sari,,,FALSE,FALSE,FALSE
Shaydi,FALSE,FALSE,FALSE,,
Shoupan,,FALSE,,FALSE,FALSE
Silphir,,,FALSE,FALSE,FALSE
Sist,,FALSE,,FALSE,FALSE
Snorky,FALSE,FALSE,FALSE,,
Speaki,FALSE,FALSE,FALSE,,
Sylla,FALSE,,FALSE,,FALSE
Taida,FALSE,,FALSE,,FALSE
Ui,,FALSE,,FALSE,FALSE
Velvet,,FALSE,,FALSE,FALSE
Veroo,FALSE,FALSE,FALSE,,
Vivi,,,FALSE,FALSE,FALSE
xXionx,FALSE,FALSE,,FALSE,
Yomi,FALSE,FALSE,FALSE,,
Yumimi,,,FALSE,FALSE,FALSE
