Total:,0/26,0/26,0/26,0/27,0/27
Character Name,ATK %,HP%,DEF %,Crit Hit & DMG %,Crit Hit & DMG RES %
Alice,,FALSE,,FALSE,
Allet,,,,FALSE,FALSE
Amelia,,,FALSE,,FALSE
Ashur,,,,FALSE,FALSE
Aya,FALSE,,FALSE,,
Belita,,FALSE,,FALSE,
Beni,,FALSE,,FALSE,
BigWood,FALSE,FALSE,,,
Blanchet,,FALSE,,FALSE,
Butter,FALSE,,FALSE,,
Canna,,,FALSE,,FALSE
Carren,,,,FALSE,FALSE
Chloe,,FALSE,,FALSE,
Chopi,,,FALSE,,FALSE
Diana,,,,FALSE,FALSE
ED,FALSE,,FALSE,,
Elena,FALSE,,FALSE,,
Epica,,,,FALSE,FALSE
Erpin,FALSE,,FALSE,,
Espi,,,,FALSE,FALSE
Festa,FALSE,,FALSE,,
Fricle,FALSE,FALSE,,,
Gabia,FALSE,FALSE,,,
Haley,,,FALSE,,FALSE
Hilde,FALSE,FALSE,,,
Ifrit,,,FALSE,,FALSE
Jade,,,FALSE,,FALSE
Jubee,FALSE,,FALSE,,
Kidian,,,FALSE,,FALSE
Kommy,,,FALSE,,FALSE
Kyuri,FALSE,FALSE,,,
Layze,,,FALSE,,FALSE
Leets,FALSE,FALSE,,,
Levi,,,,FALSE,FALSE
MaestroMK2,,FALSE,,FALSE,
Mago,FALSE,FALSE,,,
Maison,,,,FALSE,FALSE
Marie,FALSE,FALSE,,,
Mayo,,,FALSE,,FALSE
Meluna,FALSE,FALSE,,,
Momo,FALSE,FALSE,,,
Mynx,FALSE,FALSE,,,
Naia,,FALSE,,FALSE,
Patula,FALSE,,FALSE,,
Picora,,,FALSE,,FALSE
Posher,,,FALSE,,FALSE
Rim,,,,FALSE,FALSE
Rohne,,FALSE,,FALSE,
Rudd,,FALSE,,FALSE,
Rufo,,,,FALSE,FALSE
Sari,,FALSE,,FALSE,
Selene,FALSE,,FALSE,,
Shaydi,FALSE,,FALSE,,
Shoupan,,,,FALSE,FALSE
Silphir,,FALSE,,FALSE,
Sist,,,,FALSE,FALSE
Snorky,FALSE,,FALSE,,
Speaki,FALSE,,FALSE,,
Sylla,FALSE,FALSE,,,
Taida,FALSE,FALSE,,,
Ui,,,,FALSE,FALSE
Velvet,,,,FALSE,FALSE
Veroo,FALSE,,FALSE,,
Vivi,,FALSE,,FALSE,
xXionx,,,FALSE,,FALSE
Yomi,FALSE,,FALSE,,
Yumimi,,FALSE,,FALSE,
